"symbol","uniprot","ensembl","entrez","name","signature"
"MROH7","Q68CQ1","ENSG00000184313",374977,"Maestro heat-like repeat-containing protein family member 7","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"DNASE1L3","Q13609","ENSG00000163687",1776,"Deoxyribonuclease gamma","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"OR6Q1","Q8NGQ2","ENSG00000279051",219952,"Olfactory receptor 6Q1","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"ADARB2","Q9NS39","ENSG00000185736",105,"Double-stranded RNA-specific editase B2","NEDD8+C18"
"TAF9B","Q9HBM6","ENSG00000187325",51616,"Transcription initiation factor TFIID subunit 9B","NEDD8+C18"
"ELAVL4","P26378","ENSG00000162374",1996,"ELAV-like protein 4","NEDD8+C18"
"NUTM2E","B1AL46","ENSG00000228570",283008,"NUT family member 2E","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"SLC6A4","P31645","ENSG00000108576",6532,"Sodium-dependent serotonin transporter","NEDD8+C18"
"SLC37A2","Q8TED4","ENSG00000134955",219855,"Glucose-6-phosphate exchanger SLC37A2","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"IGSF22","Q8N9C0","ENSG00000179057",283284,"Immunoglobulin superfamily member 22","NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
NA,NA,NA,NA,NA,"NEDD8+C18"
"RUNDC3A","Q59EK9","ENSG00000108309",10900,"RUN domain-containing protein 3A","SIN3A"
"SERPINA6","P08185","ENSG00000277405",866,"Corticosteroid-binding globulin","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"SLC17A6","Q9P2U8","ENSG00000091664",57084,"Vesicular glutamate transporter 2","SIN3A"
"CA1","P00915","ENSG00000133742",759,"Carbonic anhydrase 1","SIN3A"
"CCL7","P80098","ENSG00000108688",6354,"C-C motif chemokine 7","SIN3A"
"FAM90A1","Q86YD7","ENSG00000171847",55138,"Protein FAM90A1","SIN3A"
"OR7D2","Q96RA2","ENSG00000188000",162998,"Olfactory receptor 7D2","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"NEK5","Q6P3R8","ENSG00000197168",341676,"Serine/threonine-protein kinase Nek5","SIN3A"
"AGT","P01019","ENSG00000135744",183,"Angiotensinogen","SIN3A"
"BICC1","Q9H694","ENSG00000122870",80114,"Protein bicaudal C homolog 1","SIN3A"
"ZNF534","Q76KX8","ENSG00000198633",147658,"Zinc finger protein 534","SIN3A"
"CYTL1","Q9NRR1","ENSG00000170891",54360,"Cytokine-like protein 1","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"SESN2","P58004","ENSG00000285069",83667,"Sestrin-2","SIN3A"
"PDZK1IP1","Q13113","ENSG00000162366",10158,"PDZK1-interacting protein 1","SIN3A"
"PGM2L1","Q6PCE3","ENSG00000165434",283209,"Glucose 1,6-bisphosphate synthase","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"ST7","Q9NRC1","ENSG00000004866",7982,"Suppressor of tumorigenicity 7 protein","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"ZNF710","Q8N1W2","ENSG00000140548",374655,"Zinc finger protein 710","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"TRPM6","Q9BX84","ENSG00000119121",140803,"Transient receptor potential cation channel subfamily M member 6","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"G0S2","P27469","ENSG00000123689",50486,"G0/G1 switch protein 2","SIN3A"
"GAGE12J","A6NER3","ENSG00000224659",26749,"G antigen 12J","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"HMOX1","P09601","ENSG00000100292",3162,"Heme oxygenase 1","SIN3A"
"SLC3A2","P08195","ENSG00000168003",6520,"4F2 cell-surface antigen heavy chain","SIN3A"
"SLC17A8","Q8NDX2","ENSG00000179520",246213,"Vesicular glutamate transporter 3","SIN3A"
"ACKR1","Q16570","ENSG00000213088",2532,"Atypical chemokine receptor 1","SIN3A"
"TMEM198","Q66K66","ENSG00000188760",130612,"Transmembrane protein 198","SIN3A"
"RAB5C","P51148","ENSG00000108774",5878,"Ras-related protein Rab-5C","SIN3A"
"OR2AE1","Q8NHA4","ENSG00000244623",81392,"Olfactory receptor 2AE1","SIN3A"
"SLC12A7","Q9Y666","ENSG00000113504",10723,"Solute carrier family 12 member 7","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"GPR27","Q9NS67","ENSG00000170837",2850,"Probable G-protein coupled receptor 27","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"SAMD12","Q8N8I0","ENSG00000177570",401474,"Sterile alpha motif domain-containing protein 12","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"ZIC5","Q96T25","ENSG00000139800",85416,"Zinc finger protein ZIC 5","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"CPNE5","Q9HCH3","ENSG00000124772",57699,"Copine-5","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"ANKRD52","Q8NB46","ENSG00000139645",283373,"Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C","SIN3A"
"SLC22A8","Q8TCC7","ENSG00000149452",9376,"Solute carrier family 22 member 8","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"OR7C1","O76099","ENSG00000127530",26664,"Olfactory receptor 7C1","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"QRICH2","Q9H0J4","ENSG00000129646",84074,"Glutamine-rich protein 2","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"H4C9","P62805","ENSG00000276180",8294,"Histone H4","SIN3A"
"AGXT2","Q9BYV1","ENSG00000113492",64902,"Alanine--glyoxylate aminotransferase 2, mitochondrial","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"DEFB121","Q5J5C9","ENSG00000204548",245934,"Beta-defensin 121","SIN3A"
"SHANK1","Q9Y566","ENSG00000161681",50944,"SH3 and multiple ankyrin repeat domains protein 1","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"DSCAML1","Q8TD84","ENSG00000177103",57453,"Down syndrome cell adhesion molecule-like protein 1","SIN3A"
"MFAP4","P55083","ENSG00000166482",4239,"Microfibril-associated glycoprotein 4","SIN3A"
"DEFA3","P59666","ENSG00000239839",1668,"Neutrophil defensin 3","SIN3A"
"SIN3A","Q96ST3","ENSG00000169375",25942,"Paired amphipathic helix protein Sin3a","SIN3A"
"SNX10","Q9Y5X0","ENSG00000086300",29887,"Sorting nexin-10","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"CCDC106","Q9BWC9","ENSG00000173581",29903,"Coiled-coil domain-containing protein 106","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"GGACT","Q9BVM4","ENSG00000134864",87769,"Gamma-glutamylaminecyclotransferase","SIN3A"
"ACOT4","Q8N9L9","ENSG00000177465",122970,"Peroxisomal succinyl-coenzyme A thioesterase","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"ARL6IP6","Q8N6S5","ENSG00000177917",151188,"ADP-ribosylation factor-like protein 6-interacting protein 6","SIN3A"
"TMEM106B","Q9NUM4","ENSG00000106460",54664,"Transmembrane protein 106B","SIN3A"
"RIPPLY3","P57055","ENSG00000183145",53820,"Protein ripply3","SIN3A"
"TOPAZ1","Q8N9V7","ENSG00000173769",375337,"Protein TOPAZ1","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"CTCFL","Q8NI51","ENSG00000124092",140690,"Transcriptional repressor CTCFL","SIN3A"
"ZNF85","Q03923","ENSG00000278091",7639,"Zinc finger protein 85","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"ATP6V1A","P38606","ENSG00000114573",523,"V-type proton ATPase catalytic subunit A","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"PLCB2","Q00722","ENSG00000137841",5330,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"TMEM266","Q2M3C6","ENSG00000169758",123591,"Transmembrane protein 266","SIN3A"
"BIVM","Q86UB2","ENSG00000134897",54841,"Basic immunoglobulin-like variable motif-containing protein","SIN3A"
"NBN","O60934","ENSG00000104320",4683,"Nibrin","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"PCDHGB4","Q9UN71","ENSG00000253953",8641,"Protocadherin gamma-B4","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"ADGRA2","Q96PE1","ENSG00000020181",25960,"Adhesion G protein-coupled receptor A2","SIN3A"
"ERICH2","A1L162","ENSG00000204334",285141,"Glutamate-rich protein 2","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"DCLRE1A","Q6PJP8","ENSG00000198924",9937,"DNA cross-link repair 1A protein","SIN3A"
"ZEB1","P37275","ENSG00000148516",6935,"Zinc finger E-box-binding homeobox 1","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"SLC14A2","Q15849","ENSG00000132874",8170,"Urea transporter 2","SIN3A"
"TXLNB","Q8N3L3","ENSG00000164440",167838,"Beta-taxilin","SIN3A"
"WIPF1","O43516","ENSG00000115935",7456,"WAS/WASL-interacting protein family member 1","SIN3A"
"HSD17B4","P51659","ENSG00000133835",3295,"Peroxisomal multifunctional enzyme type 2","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"DERL1","Q9BUN8","ENSG00000136986",79139,"Derlin-1","SIN3A"
"PPP1R3C","Q9UQK1","ENSG00000119938",5507,"Protein phosphatase 1 regulatory subunit 3C","SIN3A"
"FGFBP1","Q14512","ENSG00000137440",9982,"Fibroblast growth factor-binding protein 1","SIN3A"
"DNAI2","Q9GZS0","ENSG00000171595",64446,"Dynein axonemal intermediate chain 2","SIN3A"
"P2RX6","O15547","ENSG00000099957",9127,"P2X purinoceptor 6","SIN3A"
"SH3D19","Q5HYK7","ENSG00000109686",152503,"SH3 domain-containing protein 19","SIN3A"
"LRRC31","Q6UY01","ENSG00000114248",79782,"Leucine-rich repeat-containing protein 31","SIN3A"
"TAAR5","O14804","ENSG00000135569",9038,"Trace amine-associated receptor 5","SIN3A"
"AMMECR1","Q9Y4X0","ENSG00000101935",9949,"AMME syndrome candidate gene 1 protein","SIN3A"
"HRCT1","Q6UXD1","ENSG00000196196",646962,"Histidine-rich carboxyl terminus protein 1","SIN3A"
"KAT2B","Q92831","ENSG00000114166",8850,"Histone acetyltransferase KAT2B","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"FBXO4","Q9UKT5","ENSG00000151876",26272,"F-box only protein 4","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"TSPEAR","Q8WU66","ENSG00000175894",54084,"Thrombospondin-type laminin G domain and EAR repeat-containing protein","SIN3A"
"OR5D13","Q8NGL4","ENSG00000279761",390142,"Olfactory receptor 5D13","SIN3A"
"CBLN2","Q8IUK8","ENSG00000141668",147381,"Cerebellin-2","SIN3A"
"GPER1","Q99527","ENSG00000164850",2852,"G-protein coupled estrogen receptor 1","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"VTCN1","Q7Z7D3","ENSG00000134258",79679,"V-set domain-containing T-cell activation inhibitor 1","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"OSTC","Q9NRP0","ENSG00000198856",58505,"Oligosaccharyltransferase complex subunit OSTC","SIN3A"
"BCAT1","P54687","ENSG00000060982",586,"Branched-chain-amino-acid aminotransferase, cytosolic","SIN3A"
"BPY2","O14599","ENSG00000183753",9083,"Testis-specific basic protein Y 2","SIN3A"
"FBP1","P09467","ENSG00000165140",2203,"Fructose-1,6-bisphosphatase 1","SIN3A"
"AREL1","O15033","ENSG00000119682",9870,"Apoptosis-resistant E3 ubiquitin protein ligase 1","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"CACNG6","Q9BXT2","ENSG00000130433",59285,"Voltage-dependent calcium channel gamma-6 subunit","SIN3A"
"CYTH4","Q9UIA0","ENSG00000100055",27128,"Cytohesin-4","SIN3A"
"PTGFRN","Q9P2B2","ENSG00000134247",5738,"Prostaglandin F2 receptor negative regulator","SIN3A"
"HENMT1","Q5T8I9","ENSG00000162639",113802,"Small RNA 2'-O-methyltransferase","SIN3A"
"ARMH1","Q6PIY5","ENSG00000198520",339541,"Armadillo-like helical domain containing protein 1","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"SWSAP1","Q6NVH7","ENSG00000173928",126074,"ATPase SWSAP1","SIN3A"
"TFF2","Q03403","ENSG00000160181",7032,"Trefoil factor 2","SIN3A"
"DOCK10","Q96BY6","ENSG00000135905",55619,"Dedicator of cytokinesis protein 10","SIN3A"
"CASP5","P51878","ENSG00000137757",838,"Caspase-5","SIN3A"
"COMMD10","Q9Y6G5","ENSG00000145781",51397,"COMM domain-containing protein 10","SIN3A"
"PACSIN1","Q9BY11","ENSG00000124507",29993,"Protein kinase C and casein kinase substrate in neurons protein 1","SIN3A"
"EPGN","Q6UW88","ENSG00000182585",255324,"Epigen","SIN3A"
"PROM2","Q8N271","ENSG00000155066",150696,"Prominin-2","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"ZDHHC13","Q8IUH4","ENSG00000177054",54503,"Palmitoyltransferase ZDHHC13","SIN3A"
"CCL11","P51671","ENSG00000172156",6356,"Eotaxin","SIN3A"
"SLC2A10","O95528","ENSG00000197496",81031,"Solute carrier family 2, facilitated glucose transporter member 10","SIN3A"
"YWHAH","Q04917","ENSG00000128245",7533,"14-3-3 protein eta","SIN3A"
"C17orf58","Q2M2W7","ENSG00000186665",284018,"UPF0450 protein C17orf58","SIN3A"
"POGLUT3","Q7Z4H8","ENSG00000178202",143888,"Protein O-glucosyltransferase 3","SIN3A"
"FABP12","A6NFH5","ENSG00000197416",646486,"Fatty acid-binding protein 12","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"TMEM87A","Q8NBN3","ENSG00000103978",25963,"Transmembrane protein 87A","SIN3A"
"DEPDC1","Q5TB30","ENSG00000024526",55635,"DEP domain-containing protein 1A","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"NUDCD2","Q8WVJ2","ENSG00000170584",134492,"NudC domain-containing protein 2","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"CADM3","Q8N126","ENSG00000162706",57863,"Cell adhesion molecule 3","SIN3A"
"C4orf17","Q53FE4","ENSG00000138813",84103,"Uncharacterized protein C4orf17","SIN3A"
"LMNTD1","Q8N9Z9","ENSG00000152936",160492,"Lamin tail domain-containing protein 1","SIN3A"
NA,NA,NA,NA,NA,"SIN3A"
"VTN","P04004","ENSG00000109072",7448,"Vitronectin","SIN3A"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"CCL7","P80098","ENSG00000108688",6354,"C-C motif chemokine 7","SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"CA1","P00915","ENSG00000133742",759,"Carbonic anhydrase 1","SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"FAM90A1","Q86YD7","ENSG00000171847",55138,"Protein FAM90A1","SYVN1"
"TPRX1","Q8N7U7","ENSG00000178928",284355,"Tetra-peptide repeat homeobox protein 1","SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"LOX","P28300","ENSG00000113083",4015,"Protein-lysine 6-oxidase","SYVN1"
"MBL2","P11226","ENSG00000165471",4153,"Mannose-binding protein C","SYVN1"
"DNAJB9","Q9UBS3","ENSG00000128590",4189,"DnaJ homolog subfamily B member 9","SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"ZNF710","Q8N1W2","ENSG00000140548",374655,"Zinc finger protein 710","SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"MFSD4B","Q5TF39","ENSG00000173214",91749,NA,"SYVN1"
"AGT","P01019","ENSG00000135744",183,NA,"SYVN1"
"SCNN1B","P51168","ENSG00000168447",6338,NA,"SYVN1"
"DEFA3","P59666","ENSG00000239839",1668,NA,"SYVN1"
"NEK5","Q6P3R8","ENSG00000197168",341676,NA,"SYVN1"
"TRPM6","Q9BX84","ENSG00000119121",140803,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"OR13H1","Q8NG92","ENSG00000171054",347468,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"ZNF534","Q76KX8","ENSG00000198633",147658,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"NMBR","P28336","ENSG00000135577",4829,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"GPRIN3","Q6ZVF9","ENSG00000185477",285513,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"CYLC2","Q14093","ENSG00000155833",1539,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"SCG2","P13521","ENSG00000171951",7857,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"CFAP161","Q6P656","ENSG00000156206",161502,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"TMEM145","Q8NBT3","ENSG00000167619",284339,NA,"SYVN1"
"A2ML1","A8K2U0","ENSG00000166535",144568,NA,"SYVN1"
"HBM","Q6B0K9","ENSG00000206177",3042,NA,"SYVN1"
"SERPINA6","P08185","ENSG00000277405",866,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"APOBEC3A","P31941","ENSG00000262156",200315,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"QRICH2","Q9H0J4","ENSG00000129646",84074,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"C9","P02748","ENSG00000113600",735,NA,"SYVN1"
"GIPC3","Q8TF64","ENSG00000179855",126326,NA,"SYVN1"
"CENPVL3","A0A0U1RRI6","ENSG00000224109",347549,"Centromere protein V-like protein 3","SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"HTR1F","P30939","ENSG00000179097",3355,"5-hydroxytryptamine receptor 1F","SYVN1"
"GAGE12J","A6NER3","ENSG00000224659",26749,"G antigen 12J","SYVN1"
NA,NA,NA,NA,NA,"SYVN1"
"SYVN1","Q86TM6","ENSG00000162298",84447,"E3 ubiquitin-protein ligase synoviolin","SYVN1"
"FKBP1A","P62942","ENSG00000088832",2280,"Peptidyl-prolyl cis-trans isomerase FKBP1A","SYVN1"
"OIP5","O43482","ENSG00000104147",11339,"Protein Mis18-beta","SYVN1"
"ATP6V1A","P38606","ENSG00000114573",523,"V-type proton ATPase catalytic subunit A","SYVN1"
"USB1","Q9BQ65","ENSG00000103005",79650,"U6 snRNA phosphodiesterase","SYVN1"
"CADM1","Q9BY67","ENSG00000182985",23705,"Cell adhesion molecule 1","SYVN1"
"TAF9B","Q9HBM6","ENSG00000187325",51616,"Transcription initiation factor TFIID subunit 9B","SYVN1"
